id1,id2,pair_id,true_class,predicted_class,score_S
CHEBI_133598,CHEBI_27644,CHEBI_133598_CHEBI_27644,Protomers,Protomers,90.0
CHEBI_57831,CHEBI_16597,CHEBI_16597_CHEBI_57831,Protomers,Protomers,90.0
CHEBI_95163,CHEBI_95237,CHEBI_95163_CHEBI_95237,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_131978,CHEBI_132263,CHEBI_131978_CHEBI_132263,Protomers,Protomers,93.0
CHEBI_62531,CHEBI_62528,CHEBI_62528_CHEBI_62531,Protomers,Protomers,92.0
CHEBI_229724,CHEBI_145880,CHEBI_145880_CHEBI_229724,Protomers,Protomers,91.0
CHEBI_67634,CHEBI_67633,CHEBI_67633_CHEBI_67634,Diastereomers,Diastereomers,100.0
CHEBI_168147,CHEBI_185504,CHEBI_168147_CHEBI_185504,Diastereomers,Diastereomers,100.0
CHEBI_96282,CHEBI_96633,CHEBI_96282_CHEBI_96633,Diastereomers,Diastereomers,100.0
CHEBI_64777,CHEBI_64774,CHEBI_64774_CHEBI_64777,Stereo-resolution pairs,Stereo-resolution pairs,83.0
CHEBI_85223,CHEBI_85666,CHEBI_85223_CHEBI_85666,Protomers,Protomers,95.0
CHEBI_100548,CHEBI_100491,CHEBI_100491_CHEBI_100548,Diastereomers,Diastereomers,100.0
CHEBI_28770,CHEBI_28651,CHEBI_28651_CHEBI_28770,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_57759,CHEBI_16400,CHEBI_16400_CHEBI_57759,Protomers,Protomers,94.0
CHEBI_83040,CHEBI_83037,CHEBI_83037_CHEBI_83040,Diastereomers,Diastereomers,100.0
CHEBI_47927,CHEBI_47925,CHEBI_47925_CHEBI_47927,Protomers,Protomers,92.0
CHEBI_96608,CHEBI_95752,CHEBI_95752_CHEBI_96608,Diastereomers,Diastereomers,100.0
CHEBI_58089,CHEBI_17284,CHEBI_17284_CHEBI_58089,Protomers,Protomers,86.0
CHEBI_138203,CHEBI_138205,CHEBI_138203_CHEBI_138205,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_1060,CHEBI_17647,CHEBI_1060_CHEBI_17647,Enantiomers,Enantiomers,100.0
CHEBI_16234,CHEBI_15377,CHEBI_15377_CHEBI_16234,Protomers,Protomers,75.0
CHEBI_83330,CHEBI_83331,CHEBI_83330_CHEBI_83331,Enantiomers,Enantiomers,100.0
CHEBI_64028,CHEBI_64030,CHEBI_64028_CHEBI_64030,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_70968,CHEBI_70983,CHEBI_70968_CHEBI_70983,Protomers,Protomers,90.0
