id1,id2,pair_id,true_class,predicted_class,score_S,true_norm,pred_norm
CHEBI_227074,CHEBI_222684,CHEBI_222684_CHEBI_227074,Diastereomers,Stereo-resolution pairs,82.0,diastereomer,stereo_resolution
CHEBI_119745,CHEBI_119570,CHEBI_119570_CHEBI_119745,Diastereomers,Stereo-resolution pairs,82.0,diastereomer,stereo_resolution
CHEBI_130302,CHEBI_126083,CHEBI_126083_CHEBI_130302,Diastereomers,Stereo-resolution pairs,75.0,diastereomer,stereo_resolution
CHEBI_208165,CHEBI_208161,CHEBI_208161_CHEBI_208165,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_119616,CHEBI_131294,CHEBI_119616_CHEBI_131294,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_71613,CHEBI_71560,CHEBI_71560_CHEBI_71613,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_716,CHEBI_2327,CHEBI_2327_CHEBI_716,Diastereomers,Stereo-resolution pairs,75.0,diastereomer,stereo_resolution
CHEBI_112534,CHEBI_112616,CHEBI_112534_CHEBI_112616,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_199424,CHEBI_209671,CHEBI_199424_CHEBI_209671,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_95665,CHEBI_96561,CHEBI_95665_CHEBI_96561,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_2318,CHEBI_5965,CHEBI_2318_CHEBI_5965,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_112617,CHEBI_112586,CHEBI_112586_CHEBI_112617,Diastereomers,Stereo-resolution pairs,82.0,diastereomer,stereo_resolution
CHEBI_87835,CHEBI_65077,CHEBI_65077_CHEBI_87835,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_198700,CHEBI_208952,CHEBI_198700_CHEBI_208952,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_127766,CHEBI_128248,CHEBI_127766_CHEBI_128248,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_208141,CHEBI_208125,CHEBI_208125_CHEBI_208141,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_206015,CHEBI_214475,CHEBI_206015_CHEBI_214475,Diastereomers,Stereo-resolution pairs,86.0,diastereomer,stereo_resolution
CHEBI_128427,CHEBI_128762,CHEBI_128427_CHEBI_128762,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_123669,CHEBI_124901,CHEBI_123669_CHEBI_124901,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_130043,CHEBI_129289,CHEBI_129289_CHEBI_130043,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_130832,CHEBI_127726,CHEBI_127726_CHEBI_130832,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_128283,CHEBI_129409,CHEBI_128283_CHEBI_129409,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_217503,CHEBI_203761,CHEBI_203761_CHEBI_217503,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_128319,CHEBI_130426,CHEBI_128319_CHEBI_130426,Diastereomers,Stereo-resolution pairs,75.0,diastereomer,stereo_resolution
CHEBI_94877,CHEBI_94923,CHEBI_94877_CHEBI_94923,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_67183,CHEBI_67185,CHEBI_67183_CHEBI_67185,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_233817,CHEBI_68828,CHEBI_233817_CHEBI_68828,Diastereomers,Enantiomers,100.0,diastereomer,enantiomer
CHEBI_201265,CHEBI_216660,CHEBI_201265_CHEBI_216660,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_16777,CHEBI_5568,CHEBI_16777_CHEBI_5568,Diastereomers,Stereo-resolution pairs,75.0,diastereomer,stereo_resolution
CHEBI_197878,CHEBI_217217,CHEBI_197878_CHEBI_217217,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_130042,CHEBI_126897,CHEBI_126897_CHEBI_130042,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_129581,CHEBI_129884,CHEBI_129581_CHEBI_129884,Diastereomers,Stereo-resolution pairs,88.0,diastereomer,stereo_resolution
CHEBI_127119,CHEBI_130693,CHEBI_127119_CHEBI_130693,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_219093,CHEBI_200750,CHEBI_200750_CHEBI_219093,Diastereomers,Stereo-resolution pairs,89.0,diastereomer,stereo_resolution
CHEBI_128258,CHEBI_125743,CHEBI_125743_CHEBI_128258,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_129480,CHEBI_128584,CHEBI_128584_CHEBI_129480,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
