cluster_id	member_curie	identity_key_strict	molfile_key	molfile_path	raw_canonical_smiles	formula	formal_charge	rdkit_canonical_tautomer
2710	CHEBI_228486	CCOC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1	CHEBI_228486	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_228486.sdf	[H][C@]1([C@H](C(=O)OCC)c2ccccc2)CCCCN1	C15H21NO2	0.0	[H][C@]1(C(C(=O)OCC)c2ccccc2)CCCCN1
2711	CHEBI_215614	COC1=CC(=O)[C@H]2O[C@@]2(C)[C@H]1O	CHEBI_215614	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_215614.sdf	COC1=CC(=O)[C@H]2O[C@@]2(C)[C@H]1O	C8H10O4	0.0	COC1=CC(=O)C2O[C@@]2(C)[C@H]1O
2712	CHEBI_96855	C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccccc1	CHEBI_96855	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_96855.sdf	C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccccc1	C23H35N5O3	0.0	C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccccc1
2713	CHEBI_96090	C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccccc1	CHEBI_96090	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_96090.sdf	C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccccc1	C23H35N5O3	0.0	C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccccc1
2714	CHEBI_96441	C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccccc1	CHEBI_96441	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_96441.sdf	C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccccc1	C23H35N5O3	0.0	C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccccc1
2715	CHEBI_113518	C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccccc1	CHEBI_113518	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_113518.sdf	C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccccc1	C23H35N5O3	0.0	C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccccc1
2716	CHEBI_96964	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2)OCc2cn(nn2)CCCC1=O	CHEBI_96964	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_96964.sdf	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2)OCc2cn(nn2)CCCC1=O	C23H35N5O3	0.0	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2)OCc2cn(nn2)CCCC1=O
2717	CHEBI_96755	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccccc2)OCc2cn(nn2)CCCC1=O	CHEBI_96755	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_96755.sdf	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccccc2)OCc2cn(nn2)CCCC1=O	C23H35N5O3	0.0	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccccc2)OCc2cn(nn2)CCCC1=O
2718	CHEBI_113340	C[C@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccccc1	CHEBI_113340	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_113340.sdf	C[C@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccccc1	C23H35N5O3	0.0	C[C@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccccc1
2719	CHEBI_96912	C[C@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccccc1	CHEBI_96912	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_96912.sdf	C[C@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccccc1	C23H35N5O3	0.0	C[C@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccccc1
