cluster_id	member_curie	identity_key_strict	molfile_key	molfile_path	raw_canonical_smiles	formula	formal_charge	rdkit_canonical_tautomer
1244	CHEBI_151972	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](OC4O[C@H](CO)[C@@H](O)[C@H](OC5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5OC5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O	CHEBI_151972	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_151972.sdf	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](OC4O[C@H](CO)[C@@H](O)[C@H](OC5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5OC5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O	C64H108N2O51	0.0	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](OC4O[C@H](CO)[C@@H](O)[C@H](OC5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5OC5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O
1245	CHEBI_154771	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O	CHEBI_154771	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_154771.sdf	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O	C64H108N2O51	0.0	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O
1246	CHEBI_153963	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@H]3O)[C@@H]2O)[C@@H]1O	CHEBI_153963	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_153963.sdf	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@H]3O)[C@@H]2O)[C@@H]1O	C64H108N2O51	0.0	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@H]3O)[C@@H]2O)[C@@H]1O
1247	CHEBI_220530	C=C1C(C)C2C(Cc3ccc(OC)cc3)NC(=O)C23C(OC(C)=O)/C=C/C(C)(O)CC(C)C/C=C/C3C1O	CHEBI_220530	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_220530.sdf	C=C1C(C)C2C(Cc3ccc(OC)cc3)NC(=O)C23C(OC(C)=O)/C=C/C(C)(O)CC(C)C/C=C/C3C1O	C31H41NO6	0.0	C=C1C(C)C2C(Cc3ccc(OC)cc3)NC(=O)C23C(OC(C)=O)/C=C/C(C)(O)CC(C)C/C=C/C3C1O
1248	CHEBI_175573	C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4C[C@@H](O)[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC(=O)[C@]3(C)[C@H]1[C@@H]2C	CHEBI_175573	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_175573.sdf	[H][C@@]12C[C@@H](O)[C@@]3([H])C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC(=O)[C@@]1(C)[C@@]2([H])C[C@]2([H])O[C@]3(CC[C@@H](C)CO3)[C@@H](C)[C@]12[H]	C27H42O5	0.0	[H][C@@]12C[C@@H](O)[C@@]3([H])C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC(=O)[C@@]1(C)[C@@]2([H])C[C@]2([H])O[C@]3(CC[C@@H](C)CO3)[C@@H](C)[C@]12[H]
1249	CHEBI_6682	O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	CHEBI_6682	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_6682.sdf	[H][C@@]1(c2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C19H18O11	0.0	[H][C@@]1(c2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
1250	CHEBI_194216	O=c1c2cc(O)c(O)cc2oc2cc([O-])c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	CHEBI_194216	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_194216.sdf	[H][C@@]1(c2c([O-])cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C19H17O11-	-1.0	[H][C@@]1(c2c([O-])cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
1251	CHEBI_167440	CCC(=O)c1ccc(OC)c(C)c1OC	CHEBI_167440	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_167440.sdf	CCC(=O)c1ccc(OC)c(C)c1OC	C12H16O3	0.0	CCC(=O)c1ccc(OC)c(C)c1OC
1252	CHEBI_204264	COC(=O)C1=C[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1Cl	CHEBI_204264	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_204264.sdf	COC(=O)C1=C[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1Cl	C8H11ClO5	0.0	COC(=O)C1=C[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1Cl
1253	CHEBI_67322	COC(=O)C1=C[C@@H](O)[C@H](O)[C@H](O)[C@H]1Cl	CHEBI_67322	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_67322.sdf	COC(=O)C1=C[C@@H](O)[C@H](O)[C@H](O)[C@H]1Cl	C8H11ClO5	0.0	COC(=O)C1=C[C@@H](O)[C@H](O)[C@H](O)[C@H]1Cl
1254	CHEBI_200006	COC(=O)C1=C[C@H](O)[C@H](O)[C@H](O)[C@H]1Cl	CHEBI_200006	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_200006.sdf	COC(=O)C1=C[C@H](O)[C@H](O)[C@H](O)[C@H]1Cl	C8H11ClO5	0.0	COC(=O)C1=C[C@H](O)[C@H](O)[C@H](O)[C@H]1Cl
1255	CHEBI_221677	N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C(=O)O)[C@H]1O[C@@H](n2cc(C=O)[nH]c2=O)[C@H](O)[C@H]1O	CHEBI_221677	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_221677.sdf	N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C(=O)O)[C@H]1O[C@@H](n2cc(C=O)[nH]c2=O)[C@H](O)[C@H]1O	C19H22N4O9	0.0	NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)O)[C@H]1O[C@@H](n2cc(C=O)[nH]c2=O)[C@H](O)[C@H]1O
1256	CHEBI_159522	CC(C)C[C@H](N)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)[C@@H](C)O	CHEBI_159522	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_159522.sdf	CC(C)C[C@H](N)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)[C@@H](C)O	C14H26N4O6	0.0	CC(C)CC(N)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)O)[C@@H](C)O
1257	CHEBI_214948	CCCCC(=O)c1c(CC(=O)OC)cc2c(c1O)C(=O)c1c(O)cccc1C2=O	CHEBI_214948	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_214948.sdf	CCCCC(=O)c1c(CC(=O)OC)cc2c(c1O)C(=O)c1c(O)cccc1C2=O	C22H20O7	0.0	CCCCC(=O)c1c(CC(=O)OC)cc2c(c1O)C(=O)c1c(O)cccc1C2=O
1258	CHEBI_205785	Cc1c(O)cc(O)c2c1[C@@H](C)[C@@](O)(CO)OC2=O	CHEBI_205785	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_205785.sdf	Cc1c(O)cc(O)c2c1[C@@H](C)[C@@](O)(CO)OC2=O	C12H14O6	0.0	Cc1c(O)cc(O)c2c1C(C)[C@@](O)(CO)OC2=O
1259	CHEBI_168430	CC1=C/C(=C\CCCN2CCCC2=O)OC1=O	CHEBI_168430	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_168430.sdf	CC1=C/C(=C\CCCN2CCCC2=O)OC1=O	C13H17NO3	0.0	Cc1cc(C=CCCN2CCCC2=O)oc1O
1260	CHEBI_233615	CC1=C([O-])C(O)[C@@H]2O[C@@H]2C1=O	CHEBI_233615	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_233615.sdf	CC1=C([O-])C(O)[C@@H]2O[C@@H]2C1=O	C7H7O4-	-1.0	CC1=C([O-])C(O)[C@@H]2OC2C1=O
1261	CHEBI_186211	C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3ccc[n+]([O-])c3)=CC[C@@H]12	CHEBI_186211	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_186211.sdf	[H][C@@]12CC=C3C[C@@H](OS(=O)(=O)O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(c3ccc[n+]([O-])c3)=CC[C@@]21[H]	C24H31NO5S	0.0	[H][C@@]12CC=C3C[C@@H](OS(=O)(=O)O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(c3ccc[n+]([O-])c3)=CC[C@@]21[H]
1262	CHEBI_161402	N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(=O)N[C@@H](CS)C(=O)O	CHEBI_161402	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_161402.sdf	N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(=O)N[C@@H](CS)C(=O)O	C15H21N3O4S2	0.0	NC(Cc1ccccc1)C(=O)NC(CS)C(=O)NC(CS)C(=O)O
1263	CHEBI_207939	COC(=O)[C@@]12Oc3ccc(-c4ccc(O)c5c4O[C@]4(C(=O)OC)C(=C5O)C(=O)C[C@H](C)[C@H]4O)c(O)c3C(O)=C1C(=O)C[C@H](CO)[C@H]2O	CHEBI_207939	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_207939.sdf	COC(=O)[C@@]12Oc3ccc(-c4ccc(O)c5c4O[C@]4(C(=O)OC)C(=C5O)C(=O)C[C@H](C)[C@H]4O)c(O)c3C(O)=C1C(=O)C[C@H](CO)[C@H]2O	C32H30O15	0.0	COC(=O)[C@@]12Oc3ccc(-c4ccc(O)c5c4O[C@]4(C(=O)OC)C(C(=O)C[C@H](C)[C@H]4O)C5=O)c(O)c3C(=O)C1C(=O)C[C@H](CO)[C@H]2O
1264	CHEBI_105146	CCCC1=NN(c2ccc([N+](=O)[O-])cc2)C(=O)C1=CN(C)C	CHEBI_105146	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_105146.sdf	CCCC1=NN(c2ccc([N+](=O)[O-])cc2)C(=O)C1=CN(C)C	C15H18N4O3	0.0	CCCC1=NN(c2ccc([N+](=O)[O-])cc2)C(=O)C1=CN(C)C
1265	CHEBI_202824	CCCCCCCCCC[C@@H]1O[C@]2(C=CC(=O)O2)[C@H]1O	CHEBI_202824	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_202824.sdf	CCCCCCCCCC[C@@H]1O[C@]2(C=CC(=O)O2)[C@H]1O	C16H26O4	0.0	CCCCCCCCCC[C@@H]1O[C@]2(C=CC(=O)O2)[C@H]1O
1266	CHEBI_155200	CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H]4O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@@H](CO)O[C@H]1O	CHEBI_155200	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_155200.sdf	CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H]4O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@@H](CO)O[C@H]1O	C52H88N2O41	0.0	CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H]4O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@@H](CO)O[C@H]1O
1267	CHEBI_155573	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@@H]1O	CHEBI_155573	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_155573.sdf	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@@H]1O	C52H88N2O41	0.0	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@@H]1O
1268	CHEBI_166439	CC(C)[C@H](N)C(=O)N[C@H](C(=O)NCC(=O)O)C(C)C	CHEBI_166439	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_166439.sdf	CC(C)[C@H](N)C(=O)N[C@H](C(=O)NCC(=O)O)C(C)C	C12H23N3O4	0.0	CC(C)C(N)C(=O)NC(C(=O)NCC(=O)O)C(C)C
1269	CHEBI_193109	CC(C)(CC[C@H]([NH3+])C(=O)[O-])C(=O)C(=O)[O-]	CHEBI_193109	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_193109.sdf	CC(C)(CC[C@H]([NH3+])C(=O)[O-])C(=O)C(=O)[O-]	C9H14NO5-	-1.0	CC(C)(CCC([NH3+])C(=O)[O-])C(=O)C(=O)[O-]
1270	CHEBI_21305	NC(=O)C(N)CCC(=O)O	CHEBI_21305	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_21305.sdf	NC(=O)C(N)CCC(=O)O	C5H10N2O3	0.0	NC(=O)C(N)CCC(=O)O
1271	CHEBI_192480	NC(=O)[C@@H](N)CCC(=O)O	CHEBI_192480	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_192480.sdf	NC(=O)[C@@H](N)CCC(=O)O	C5H10N2O3	0.0	NC(=O)C(N)CCC(=O)O
1272	CHEBI_192481	NC(=O)[C@H](N)CCC(=O)O	CHEBI_192481	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_192481.sdf	NC(=O)[C@H](N)CCC(=O)O	C5H10N2O3	0.0	NC(=O)C(N)CCC(=O)O
1273	CHEBI_106047	COC(=O)C(C#N)=Cc1c(Oc2cc(C)cc(C)c2)nc2ccccn2c1=O	CHEBI_106047	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_106047.sdf	COC(=O)C(C#N)=Cc1c(Oc2cc(C)cc(C)c2)nc2ccccn2c1=O	C21H17N3O4	0.0	COC(=O)C(C#N)=Cc1c(Oc2cc(C)cc(C)c2)nc2ccccn2c1=O
1274	CHEBI_28688	CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)C[C@H](O)[C@H](O)C[C@H]1C(=O)C3	CHEBI_28688	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_28688.sdf	[H][C@]1([C@@](C)(O)[C@H](O)CCC(C)(C)O)CC=C2C3=C(CC[C@@]21C)[C@@]1(C)C[C@H](O)[C@H](O)C[C@@]1([H])C(=O)C3	C27H42O6	0.0	[H]C12C[C@@H](O)[C@@H](O)C[C@]1(C)C1=C(CC2=O)C2=CC[C@]([H])([C@@](C)(O)[C@H](O)CCC(C)(C)O)[C@@]2(C)CC1
1275	CHEBI_87844	C/C(=C\Cc1cc(O)c2ccccc2c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C	CHEBI_87844	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_87844.sdf	C/C(=C\Cc1cc(O)c2ccccc2c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C	C30H46O2	0.0	C/C(=C\Cc1cc(O)c2ccccc2c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
1276	CHEBI_80686	C=C[C@H]1CN2CCC1C[C@@H]2C(=O)c1ccnc2ccccc12	CHEBI_80686	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_80686.sdf	[H][C@]1(C(=O)c2ccnc3ccccc23)CC2CCN1C[C@@H]2C=C	C19H20N2O	0.0	[H]C1(C(=O)c2ccnc3ccccc23)CC2CCN1C[C@@H]2C=C
1277	CHEBI_80767	C=C[C@H]1CN2CCC1C[C@H]2C(=O)c1ccnc2ccccc12	CHEBI_80767	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_80767.sdf	[H][C@@]1(C(=O)c2ccnc3ccccc23)CC2CCN1C[C@@H]2C=C	C19H20N2O	0.0	[H]C1(C(=O)c2ccnc3ccccc23)CC2CCN1C[C@@H]2C=C
1278	CHEBI_3868	COc1ccc(C(=O)OC2CC3CCC(C2)N3C)cc1OC	CHEBI_3868	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_3868.sdf	COc1ccc(C(=O)OC2CC3CCC(C2)N3C)cc1OC	C17H23NO4	0.0	COc1ccc(C(=O)OC2CC3CCC(C2)N3C)cc1OC
1279	CHEBI_104025	COc1ccc(C(=O)OC2C[C@H]3CC[C@H](C2)N3C)cc1OC	CHEBI_104025	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_104025.sdf	COc1ccc(C(=O)OC2C[C@H]3CC[C@H](C2)N3C)cc1OC	C17H23NO4	0.0	COc1ccc(C(=O)OC2C[C@H]3CC[C@H](C2)N3C)cc1OC
1280	CHEBI_202106	CC/C=C(C)/C=C/c1cc(=O)cc(C(Cl)Cl)o1	CHEBI_202106	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_202106.sdf	CC/C=C(C)/C=C/c1cc(=O)cc(C(Cl)Cl)o1	C13H14Cl2O2	0.0	CC/C=C(C)/C=C/c1cc(=O)cc(C(Cl)Cl)o1
1281	CHEBI_202519	COc1cc(=O)oc(/C=C/C=C/C=C/C(C)=O)c1C	CHEBI_202519	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_202519.sdf	COc1cc(=O)oc(/C=C/C=C/C=C/C(C)=O)c1C	C15H16O4	0.0	COc1cc(=O)oc(/C=C/C=C/C=C/C(C)=O)c1C
1282	CHEBI_214525	Cc1c(O)c2c(c(C)c1OCC[C@H](C)C(=O)O)COC2=O	CHEBI_214525	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_214525.sdf	Cc1c(O)c2c(c(C)c1OCC[C@H](C)C(=O)O)COC2=O	C15H18O6	0.0	Cc1c(O)c2c(c(C)c1OCCC(C)C(=O)O)COC2=O
