identity_key_strict	n_members	n_raw_forms	formula	formal_charge	members
C/C1=C/C[C@H]2[C@](C)(CC/C(C)=C3/OC(=O)[C@H]4[C@@H]3[C@@H]1O[C@@]4(C)O)OC(=O)C(=O)[C@]2(O)C(C)C	1	1	C24H32O8	0.0	CHEBI_203457
C/C1=C2/N/C(=C\C3=N/C(=C\c4[nH]c(c(CCC(=O)O)c4CC(=O)O)Cc4[nH]c1c(CC(=O)O)c4CCC(=O)O)[C@@H](CCC(=O)O)[C@]3(C)CC(=O)O)[C@@H](CCC(=O)O)[C@]2(C)CC(=O)O	1	1	C43H50N4O16	0.0	CHEBI_28307
C/C1=C\C=C\C=C\C=C/C=C\[C@H](C)CNC(=O)/C(C)=C/C=C/C=C/C=C\C=C/[C@H](C)CNC1=O	1	1	C30H38N2O2	0.0	CHEBI_223866
C/C1=C\C=C\CC[C@@H](C)[C@@H](Cc2cnco2)OC(=O)/C(C)=C/C=C/CC[C@@H](C)[C@@H](Cc2cnco2)OC1=O	1	1	C30H38N2O6	0.0	CHEBI_215617
C/C1=C\C[C@@H](O)[C@H](C)C(=O)/C(CC(C)C)=C/[C@@H]2C=C[C@@H]3CC(=O)N[C@]34C(=O)c3c(O)c(C)c(O)c(c3C(=O)[C@H]24)C1=O	1	1	C32H35NO8	0.0	CHEBI_209758
C/C1=C\[C@H](C)CC[C@@H](O)/C(C)=C/[C@H](C)C[C@@H](C)CC[C@@H]([C@@H](C)C(=O)O)OC(=O)[C@@H](C)C1	1	1	C26H44O5	0.0	CHEBI_217197
C/C=C(/C)C(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C	1	1	C19H20O5	0.0	CHEBI_141534
C/C=C(/C)C=O	1	1	C5H8O	0.0	CHEBI_88419
C/C=C(/CCC(C)C1CCC2=C3CCC4C(C)C(O)CCC4(C)C3CCC21C)C(C)C	1	1	C30H50O	0.0	CHEBI_175447
C/C=C(/NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H]1CS[C@@H](C)[C@@H](NC(=O)[C@H]2CSC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CC(C)C)C(=O)N2)C(=O)N2CCC[C@H]2C(=O)NCC(=O)N1)C(=O)NCC(=O)N[C@@H]1CSC[C@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@@H](CS/C=C/NC2=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2ccccc2)NC1=O	1	1	C98H141N25O23S4	0.0	CHEBI_221261
C/C=C(/NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CC(C)C)NC(C)=O)C(C)C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)O	1	1	C43H60N10O8	0.0	CHEBI_209520
C/C=C(C)/C=C(\C)C(O)C(C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)cc(=O)c1C	1	1	C27H39NO3	0.0	CHEBI_197602
C/C=C(\Br)C1=C(Cl)C(=O)[C@]23C[C@H]2C(C)(C)O[C@]3(O)C1=O	1	1	C14H14BrClO4	0.0	CHEBI_213999
C/C=C(\C)C(=O)OCC1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)C(O)[C@@H](O)[C@@H]1O	1	1	C26H26O13	0.0	CHEBI_186012
C/C=C(\C)C(=O)OC[C@@]12[C@H](CCC[C@]1(O)COC(C)=O)[C@@](C)(CCC1=CC(=O)OC1)[C@H](C)C[C@@H]2O	1	1	C27H40O8	0.0	CHEBI_69870
C/C=C(\C)C(=O)OC[C@H]1O[C@H](O[C@H]2O[C@H](COC(=O)/C(C)=C/C)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](OC(=O)/C(C)=C/C)[C@H](OC(=O)/C(=C/C)CC)[C@H]2O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](OC(=O)/C(C)=C/C)[C@H](OC(=O)/C(C)=C/C)[C@H]2O)[C@@H](O)[C@@H]1O	1	1	C55H80O27	0.0	CHEBI_201212
C/C=C(\C)C(=O)O[C@@H]1[C@@H](C)[C@]2(O)C3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2C2C(C)(C)[C@@]21OC(=O)C(C)CC	1	1	C30H42O8	0.0	CHEBI_182074
C/C=C(\C)CC(C)C(O)C(C)C1OC2(CC(OC)C1C)OC(C(C)C(O)C(C)/C=C/C=C/C=C/C=C/C=C/C(CC(=O)O)OC)C(C)CC2O	1	1	C41H66O9	0.0	CHEBI_203532
C/C=C(\C)C[C@H](C)[C@H](O)[C@@H](C)[C@H]1O[C@@]2(C[C@@H](OC)[C@H]1C)O[C@H]([C@@H](C)[C@@H](O)[C@@H](C)/C=C\C=C\C=C/C=C/C=C\[C@H](CC(=O)O)OC)[C@@H](C)C[C@@H]2O	1	1	C41H66O9	0.0	CHEBI_199150
C/C=C(\C)C[C@H](C)[C@H](O)[C@@H](C)[C@H]1O[C@@]2(C[C@@H](OC)[C@H]1C)O[C@H]([C@@H](C)[C@@H](O)[C@@H](C)/C=C\C=C\C=C/C=C/C=C\[C@H](CC(=O)O)OC)[C@@H](C)C[C@H]2O	1	1	C41H66O9	0.0	CHEBI_209151
C/C=C(\C)C[C@H](C)[C@H](O)[C@@H](C)[C@H]1O[C@@]2(C[C@@H](OC)[C@H]1C)O[C@H]([C@@H](C)[C@@H](O)[C@@H](C)/C=C\C=C\C=C/C=C\C=C/[C@H](CC(=O)O)OC)[C@@H](C)C[C@@H]2O	1	1	C41H66O9	0.0	CHEBI_218664
C/C=C(\C)C[C@H](C)[C@H](O)[C@@H](C)[C@H]1O[C@@]2(C[C@@H](OC)[C@H]1C)O[C@H]([C@@H](C)[C@@H](O)[C@@H](C)/C=C\C=C\C=C\C=C\C=C\[C@H](CC(=O)O)OC)[C@@H](C)C[C@@H]2O	1	1	C41H66O9	0.0	CHEBI_217612
C/C=C(\C)[C@@H]1OC(=O)[C@H](C)N(C)C(=O)[C@H]([C@H](C)CC)NC(=O)CN(C)C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](C)NC(=O)[C@@H]([C@@H](C)CC)OC(=O)/C(C)=C/C[C@H](O)[C@@H]1C	1	1	C45H69N5O10	0.0	CHEBI_70391
