mnxparent_label,parent_label,mnxchild_label,child_label
MNXM46503,chebi:52010,MNXM60008,chebi:52013
MNXM46504,chebi:3642,MNXM31616,chebi:59479
MNXM46504,chebi:3642,MNXM31807,chebi:59480
MNXM46531,chebi:83557,MNXM149597,chebi:83558
MNXM46531,chebi:83557,MNXM149734,chebi:83559
MNXM46537,chebi:35519,MNXM38341,chebi:20642
MNXM46537,chebi:35519,MNXM38378,chebi:20664
MNXM46538,chebi:36237,MNXM38342,chebi:36239
MNXM46538,chebi:36237,MNXM38379,chebi:36238
MNXM46546,chebi:23178,MNXM38344,chebi:35865
MNXM46546,chebi:23178,MNXM38381,chebi:35866
MNXM46552,chebi:35516,MNXM38347,chebi:35515
MNXM46552,chebi:35516,MNXM38382,chebi:35517
MNXM4657,chebi:6530,MNXM30126,chebi:49282
MNXM4657,chebi:6530,MNXM30322,chebi:49286
MNXM46671,chebi:81217,MNXM747396,chebi:143898
MNXM46829,chebi:3713,MNXM1411911,chebi:231952
MNXM468309,chebi:91715,MNXM173705,chebi:94616
MNXM468309,chebi:91715,MNXM62130,chebi:50692
MNXM468324,chebi:173194,MNXM3432,chebi:86381
MNXM468368,chebi:72641,MNXM723256,chebi:84441
MNXM468374,chebi:125457,MNXM163130,chebi:87620
MNXM468374,chebi:125457,MNXM169536,chebi:94581
MNXM468374,chebi:125457,MNXM2673,chebi:27974
MNXM468374,chebi:125457,MNXM734383,chebi:42156
MNXM468375,chebi:95191,MNXM733897,chebi:23965
MNXM468376,chebi:91951,MNXM173432,chebi:94338
MNXM468376,chebi:91951,MNXM53974,chebi:31638
MNXM468389,chebi:84874,MNXM1129219,chebi:172082
MNXM468419,chebi:91934,MNXM530479,chebi:94406
MNXM468419,chebi:91934,MNXM738180,chebi:135338
MNXM468420,chebi:125402,MNXM1374904,chebi:183846
MNXM468420,chebi:125402,MNXM169537,chebi:94792
MNXM468420,chebi:125402,MNXM734400,chebi:4903
MNXM468423,chebi:94444,MNXM1363892,chebi:17347
MNXM468423,chebi:94444,MNXM1363893,chebi:42534
MNXM468424,chebi:181455,MNXM728289,chebi:28324
MNXM468556,chebi:95182,MNXM21753,chebi:9150
MNXM468576,chebi:132185,MNXM737001,chebi:138484
MNXM468576,chebi:132185,MNXM741634,chebi:182524
MNXM468637,chebi:60841,MNXM30846,chebi:60843
MNXM468637,chebi:60841,MNXM30864,chebi:60840
MNXM468637,chebi:60841,MNXM30952,chebi:60842
MNXM468637,chebi:60841,MNXM3745,chebi:60849
MNXM468646,chebi:75407,MNXM4266,chebi:75921
MNXM468658,chebi:78662,MNXM727928,chebi:15441
MNXM468677,chebi:90135,MNXM507451,chebi:110424
MNXM468677,chebi:90135,MNXM527697,chebi:110390
MNXM46904,chebi:151035,MNXM499484,chebi:35077
MNXM46904,chebi:151035,MNXM87544,chebi:79947
MNXM4707,chebi:58881,MNXM1105796,chebi:47984
MNXM4707,chebi:58881,MNXM1105797,chebi:55405
MNXM4707,chebi:58881,MNXM1105798,chebi:57776
MNXM4707,chebi:58881,MNXM1105799,chebi:61970
MNXM471299,chebi:103981,MNXM471298,chebi:107647
MNXM471299,chebi:103981,MNXM88403,chebi:73358
MNXM471304,chebi:91645,MNXM1326,chebi:28412
MNXM471305,chebi:110203,MNXM733344,chebi:58192
MNXM47181,chebi:23325,MNXM30275,chebi:48269
MNXM47181,chebi:23325,MNXM30372,chebi:48270
MNXM472056,chebi:93913,MNXM1105760,chebi:16335
MNXM472056,chebi:93913,MNXM1105761,chebi:46515
MNXM472056,chebi:93913,MNXM728500,chebi:45327
MNXM472056,chebi:93913,MNXM746224,chebi:140569
MNXM47317,chebi:77054,MNXM149601,chebi:77056
MNXM47317,chebi:77054,MNXM149738,chebi:77057
MNXM4732,chebi:50763,MNXM162689,chebi:134670
MNXM4738,chebi:57946,MNXM1128758,chebi:167510
MNXM473966,chebi:90419,MNXM587480,chebi:90413
MNXM473966,chebi:90419,MNXM587487,chebi:90412
MNXM473967,chebi:83632,MNXM149606,chebi:83633
MNXM473967,chebi:83632,MNXM149744,chebi:83636
MNXM473978,chebi:87766,MNXM12921,chebi:145670
MNXM475402,chebi:91710,MNXM170315,chebi:94577
MNXM475402,chebi:91710,MNXM737695,chebi:125535
MNXM475402,chebi:91710,MNXM737696,chebi:135342
MNXM477376,chebi:94436,MNXM170316,chebi:94654
MNXM477376,chebi:94436,MNXM52682,chebi:4877
MNXM47757,chebi:170100,MNXM47756,chebi:143893
MNXM477732,chebi:91490,MNXM1412148,chebi:232353
MNXM477732,chebi:91490,MNXM1412205,chebi:232459
MNXM477951,chebi:111167,MNXM19700,chebi:194314
MNXM477959,chebi:111175,MNXM1412592,chebi:233099
MNXM477960,chebi:91785,MNXM1412593,chebi:233100
MNXM478049,chebi:91852,MNXM1373318,chebi:181252
MNXM478309,chebi:110178,MNXM52781,chebi:28828
MNXM478447,chebi:46966,MNXM559,chebi:58299
MNXM478449,chebi:93822,MNXM9962,chebi:75204
MNXM478455,chebi:125388,MNXM170326,chebi:125594
MNXM478455,chebi:125388,MNXM171175,chebi:125512
MNXM478460,chebi:95190,MNXM1583419,chebi:77689
MNXM478468,chebi:91857,MNXM1013,chebi:533015
MNXM478474,chebi:16273,MNXM1979,chebi:64178
