id_left,id_right,pairkey
CHEBI_29198,CHEBI_29031,CHEBI_29031__CHEBI_29198
CHEBI_16215,CHEBI_33462,CHEBI_16215__CHEBI_33462
CHEBI_43474,CHEBI_39745,CHEBI_39745__CHEBI_43474
CHEBI_45212,CHEBI_33017,CHEBI_33017__CHEBI_45212
CHEBI_18361,CHEBI_33019,CHEBI_18361__CHEBI_33019
CHEBI_29262,CHEBI_33463,CHEBI_29262__CHEBI_33463
CHEBI_15987,CHEBI_33483,CHEBI_15987__CHEBI_33483
CHEBI_16189,CHEBI_45696,CHEBI_16189__CHEBI_45696
CHEBI_17359,CHEBI_17137,CHEBI_17137__CHEBI_17359
CHEBI_29209,CHEBI_33486,CHEBI_29209__CHEBI_33486
CHEBI_42160,CHEBI_33487,CHEBI_33487__CHEBI_42160
CHEBI_15075,CHEBI_33490,CHEBI_15075__CHEBI_33490
CHEBI_29924,CHEBI_26642,CHEBI_26642__CHEBI_29924
CHEBI_33522,CHEBI_30465,CHEBI_30465__CHEBI_33522
CHEBI_9341,CHEBI_29213,CHEBI_29213__CHEBI_9341
CHEBI_29919,CHEBI_16136,CHEBI_16136__CHEBI_29919
CHEBI_29406,CHEBI_29407,CHEBI_29406__CHEBI_29407
CHEBI_29820,CHEBI_29408,CHEBI_29408__CHEBI_29820
CHEBI_29821,CHEBI_33538,CHEBI_29821__CHEBI_33538
CHEBI_33543,CHEBI_29214,CHEBI_29214__CHEBI_33543
CHEBI_15942,CHEBI_1015,CHEBI_1015__CHEBI_15942
CHEBI_19963,CHEBI_27764,CHEBI_19963__CHEBI_27764
CHEBI_20313,CHEBI_27500,CHEBI_20313__CHEBI_27500
CHEBI_33565,CHEBI_27802,CHEBI_27802__CHEBI_33565
CHEBI_20478,CHEBI_27758,CHEBI_20478__CHEBI_27758
CHEBI_16723,CHEBI_33574,CHEBI_16723__CHEBI_33574
CHEBI_22908,CHEBI_29255,CHEBI_22908__CHEBI_29255
CHEBI_29254,CHEBI_33118,CHEBI_29254__CHEBI_33118
CHEBI_16234,CHEBI_15377,CHEBI_15377__CHEBI_16234
CHEBI_32456,CHEBI_15356,CHEBI_15356__CHEBI_32456
CHEBI_32443,CHEBI_32442,CHEBI_32442__CHEBI_32443
CHEBI_37448,CHEBI_16950,CHEBI_16950__CHEBI_37448
CHEBI_33805,CHEBI_17784,CHEBI_17784__CHEBI_33805
CHEBI_35173,CHEBI_17647,CHEBI_17647__CHEBI_35173
CHEBI_33817,CHEBI_28378,CHEBI_28378__CHEBI_33817
CHEBI_19324,CHEBI_28907,CHEBI_19324__CHEBI_28907
CHEBI_30095,CHEBI_15571,CHEBI_15571__CHEBI_30095
CHEBI_30104,CHEBI_30101,CHEBI_30101__CHEBI_30104
CHEBI_40910,CHEBI_29449,CHEBI_29449__CHEBI_40910
CHEBI_30103,CHEBI_30096,CHEBI_30096__CHEBI_30103
CHEBI_30102,CHEBI_30099,CHEBI_30099__CHEBI_30102
CHEBI_15592,CHEBI_35114,CHEBI_15592__CHEBI_35114
CHEBI_25152,CHEBI_35123,CHEBI_25152__CHEBI_35123
CHEBI_35126,CHEBI_35125,CHEBI_35125__CHEBI_35126
CHEBI_1178,CHEBI_35128,CHEBI_1178__CHEBI_35128
CHEBI_28547,CHEBI_35145,CHEBI_28547__CHEBI_35145
CHEBI_35146,CHEBI_15614,CHEBI_15614__CHEBI_35146
CHEBI_35168,CHEBI_35169,CHEBI_35168__CHEBI_35169
CHEBI_18322,CHEBI_2490,CHEBI_18322__CHEBI_2490
CHEBI_32364,CHEBI_17947,CHEBI_17947__CHEBI_32364
CHEBI_11812,CHEBI_17667,CHEBI_11812__CHEBI_17667
CHEBI_11851,CHEBI_16530,CHEBI_11851__CHEBI_16530
CHEBI_11935,CHEBI_16741,CHEBI_11935__CHEBI_16741
CHEBI_11955,CHEBI_16080,CHEBI_11955__CHEBI_16080
CHEBI_17117,CHEBI_17782,CHEBI_17117__CHEBI_17782
CHEBI_12154,CHEBI_15888,CHEBI_12154__CHEBI_15888
CHEBI_12266,CHEBI_15830,CHEBI_12266__CHEBI_15830
CHEBI_17539,CHEBI_32798,CHEBI_17539__CHEBI_32798
CHEBI_14030,CHEBI_16423,CHEBI_14030__CHEBI_16423
CHEBI_16567,CHEBI_30754,CHEBI_16567__CHEBI_30754
CHEBI_16944,CHEBI_40673,CHEBI_16944__CHEBI_40673
CHEBI_18188,CHEBI_33094,CHEBI_18188__CHEBI_33094
CHEBI_29745,CHEBI_16294,CHEBI_16294__CHEBI_29745
CHEBI_17466,CHEBI_21161,CHEBI_17466__CHEBI_21161
CHEBI_35237,CHEBI_32458,CHEBI_32458__CHEBI_35237
CHEBI_15685,CHEBI_35266,CHEBI_15685__CHEBI_35266
CHEBI_17750,CHEBI_41139,CHEBI_17750__CHEBI_41139
CHEBI_29032,CHEBI_46905,CHEBI_29032__CHEBI_46905
CHEBI_35280,CHEBI_44813,CHEBI_35280__CHEBI_44813
CHEBI_29751,CHEBI_17521,CHEBI_17521__CHEBI_29751
CHEBI_35291,CHEBI_15367,CHEBI_15367__CHEBI_35291
CHEBI_30762,CHEBI_16914,CHEBI_16914__CHEBI_30762
CHEBI_35324,CHEBI_35325,CHEBI_35324__CHEBI_35325
CHEBI_25505,CHEBI_27851,CHEBI_25505__CHEBI_27851
CHEBI_30089,CHEBI_15366,CHEBI_15366__CHEBI_30089
CHEBI_15740,CHEBI_30751,CHEBI_15740__CHEBI_30751
CHEBI_32439,CHEBI_16449,CHEBI_16449__CHEBI_32439
CHEBI_35399,CHEBI_15672,CHEBI_15672__CHEBI_35399
CHEBI_16808,CHEBI_27469,CHEBI_16808__CHEBI_27469
CHEBI_33141,CHEBI_33142,CHEBI_33141__CHEBI_33142
CHEBI_29987,CHEBI_14321,CHEBI_14321__CHEBI_29987
CHEBI_15428,CHEBI_32507,CHEBI_15428__CHEBI_32507
CHEBI_32494,CHEBI_16998,CHEBI_16998__CHEBI_32494
CHEBI_32530,CHEBI_32529,CHEBI_32529__CHEBI_32530
CHEBI_27570,CHEBI_32531,CHEBI_27570__CHEBI_32531
CHEBI_32513,CHEBI_32512,CHEBI_32512__CHEBI_32513
CHEBI_18218,CHEBI_44576,CHEBI_18218__CHEBI_44576
CHEBI_35453,CHEBI_16369,CHEBI_16369__CHEBI_35453
CHEBI_16659,CHEBI_32398,CHEBI_16659__CHEBI_32398
CHEBI_41609,CHEBI_17544,CHEBI_17544__CHEBI_41609
CHEBI_29788,CHEBI_29790,CHEBI_29788__CHEBI_29790
CHEBI_29376,CHEBI_29789,CHEBI_29376__CHEBI_29789
CHEBI_35680,CHEBI_28987,CHEBI_28987__CHEBI_35680
CHEBI_35690,CHEBI_35694,CHEBI_35690__CHEBI_35694
CHEBI_35745,CHEBI_35760,CHEBI_35745__CHEBI_35760
CHEBI_35764,CHEBI_35739,CHEBI_35739__CHEBI_35764
CHEBI_29845,CHEBI_29844,CHEBI_29844__CHEBI_29845
CHEBI_35809,CHEBI_35802,CHEBI_35802__CHEBI_35809
CHEBI_35810,CHEBI_35806,CHEBI_35806__CHEBI_35810
CHEBI_17573,CHEBI_30853,CHEBI_17573__CHEBI_30853
CHEBI_29753,CHEBI_33410,CHEBI_29753__CHEBI_33410
CHEBI_29866,CHEBI_29243,CHEBI_29243__CHEBI_29866
CHEBI_29242,CHEBI_49900,CHEBI_29242__CHEBI_49900
CHEBI_29846,CHEBI_29840,CHEBI_29840__CHEBI_29846
CHEBI_16815,CHEBI_32815,CHEBI_16815__CHEBI_32815
CHEBI_18005,CHEBI_30851,CHEBI_18005__CHEBI_30851
CHEBI_48944,CHEBI_16135,CHEBI_16135__CHEBI_48944
CHEBI_30278,CHEBI_30282,CHEBI_30278__CHEBI_30282
CHEBI_35900,CHEBI_35897,CHEBI_35897__CHEBI_35900
CHEBI_17968,CHEBI_30772,CHEBI_17968__CHEBI_30772
CHEBI_35922,CHEBI_35921,CHEBI_35921__CHEBI_35922
CHEBI_35935,CHEBI_35936,CHEBI_35935__CHEBI_35936
CHEBI_37080,CHEBI_18308,CHEBI_18308__CHEBI_37080
CHEBI_32557,CHEBI_32558,CHEBI_32557__CHEBI_32558
CHEBI_36655,CHEBI_16891,CHEBI_16891__CHEBI_36655
CHEBI_37257,CHEBI_16285,CHEBI_16285__CHEBI_37257
CHEBI_36048,CHEBI_49477,CHEBI_36048__CHEBI_49477
CHEBI_16150,CHEBI_30746,CHEBI_16150__CHEBI_30746
CHEBI_27839,CHEBI_19577,CHEBI_19577__CHEBI_27839
CHEBI_28665,CHEBI_20021,CHEBI_20021__CHEBI_28665
CHEBI_27893,CHEBI_20364,CHEBI_20364__CHEBI_27893
CHEBI_20435,CHEBI_28886,CHEBI_20435__CHEBI_28886
CHEBI_16918,CHEBI_30778,CHEBI_16918__CHEBI_30778
CHEBI_16162,CHEBI_32807,CHEBI_16162__CHEBI_32807
CHEBI_25619,CHEBI_25620,CHEBI_25619__CHEBI_25620
CHEBI_17708,CHEBI_36104,CHEBI_17708__CHEBI_36104
CHEBI_36208,CHEBI_16119,CHEBI_16119__CHEBI_36208
CHEBI_36128,CHEBI_23500,CHEBI_23500__CHEBI_36128
CHEBI_16810,CHEBI_30916,CHEBI_16810__CHEBI_30916
CHEBI_17742,CHEBI_36148,CHEBI_17742__CHEBI_36148
CHEBI_17325,CHEBI_30920,CHEBI_17325__CHEBI_30920
CHEBI_36159,CHEBI_15430,CHEBI_15430__CHEBI_36159
CHEBI_19615,CHEBI_17367,CHEBI_17367__CHEBI_19615
CHEBI_16845,CHEBI_864,CHEBI_16845__CHEBI_864
CHEBI_19418,CHEBI_16216,CHEBI_16216__CHEBI_19418
CHEBI_36179,CHEBI_36177,CHEBI_36177__CHEBI_36179
CHEBI_19283,CHEBI_23837,CHEBI_19283__CHEBI_23837
CHEBI_29044,CHEBI_19448,CHEBI_19448__CHEBI_29044
CHEBI_15595,CHEBI_6650,CHEBI_15595__CHEBI_6650
CHEBI_22210,CHEBI_22211,CHEBI_22210__CHEBI_22211
CHEBI_36242,CHEBI_15999,CHEBI_15999__CHEBI_36242
CHEBI_36254,CHEBI_36253,CHEBI_36253__CHEBI_36254
CHEBI_9407,CHEBI_16525,CHEBI_16525__CHEBI_9407
CHEBI_36261,CHEBI_9410,CHEBI_36261__CHEBI_9410
CHEBI_36264,CHEBI_36263,CHEBI_36263__CHEBI_36264
CHEBI_36269,CHEBI_36268,CHEBI_36268__CHEBI_36269
CHEBI_46502,CHEBI_36271,CHEBI_36271__CHEBI_46502
CHEBI_11893,CHEBI_16390,CHEBI_11893__CHEBI_16390
CHEBI_11901,CHEBI_16312,CHEBI_11901__CHEBI_16312
CHEBI_11867,CHEBI_17639,CHEBI_11867__CHEBI_17639
CHEBI_30464,CHEBI_36287,CHEBI_30464__CHEBI_36287
CHEBI_30462,CHEBI_36288,CHEBI_30462__CHEBI_36288
CHEBI_15636,CHEBI_1989,CHEBI_15636__CHEBI_1989
CHEBI_29258,CHEBI_36361,CHEBI_29258__CHEBI_36361
CHEBI_45064,CHEBI_29259,CHEBI_29259__CHEBI_45064
CHEBI_44951,CHEBI_36363,CHEBI_36363__CHEBI_44951
CHEBI_15237,CHEBI_17195,CHEBI_15237__CHEBI_17195
CHEBI_36438,CHEBI_15653,CHEBI_15653__CHEBI_36438
CHEBI_16087,CHEBI_36453,CHEBI_16087__CHEBI_36453
CHEBI_36454,CHEBI_30887,CHEBI_30887__CHEBI_36454
CHEBI_30904,CHEBI_36455,CHEBI_30904__CHEBI_36455
CHEBI_36456,CHEBI_29094,CHEBI_29094__CHEBI_36456
CHEBI_10979,CHEBI_17663,CHEBI_10979__CHEBI_17663
CHEBI_11173,CHEBI_18094,CHEBI_11173__CHEBI_18094
CHEBI_36487,CHEBI_36486,CHEBI_36486__CHEBI_36487
CHEBI_36501,CHEBI_16508,CHEBI_16508__CHEBI_36501
CHEBI_27023,CHEBI_27849,CHEBI_27023__CHEBI_27849
CHEBI_11944,CHEBI_18312,CHEBI_11944__CHEBI_18312
CHEBI_11987,CHEBI_18256,CHEBI_11987__CHEBI_18256
