threshold,n_predictions_for_class,n_high_confidence,high_confidence_fraction,tp,fp,tn,fn,precision,recall,sensitivity,specificity,false_positive_rate,false_negative_rate,f1,balanced_accuracy,youden_j
77,2909,2841,0.9766242695084222,2812,29,0,68,0.9897923266455474,0.9763888888888889,0.9763888888888889,0.0,1.0,0.02361111111111111,0.9830449222163957,0.48819444444444443,-0.023611111111111138
78,2909,2792,0.9597799931247851,2764,28,1,116,0.9899713467048711,0.9597222222222223,0.9597222222222223,0.034482758620689655,0.9655172413793104,0.04027777777777778,0.9746121297602257,0.49710249042145593,-0.005795019157088133
79,2909,2758,0.9480921278789962,2730,28,1,150,0.9898477157360406,0.9479166666666666,0.9479166666666666,0.034482758620689655,0.9655172413793104,0.052083333333333336,0.9684285207520397,0.4911997126436781,-0.017600574712643757
80,2909,2718,0.9343416981780681,2690,28,1,190,0.9896983075791023,0.9340277777777778,0.9340277777777778,0.034482758620689655,0.9655172413793104,0.06597222222222222,0.961057520543051,0.4842552681992337,-0.0314894636015326
81,2909,2693,0.9257476796149879,2665,28,1,215,0.9896026735982176,0.9253472222222222,0.9253472222222222,0.034482758620689655,0.9655172413793104,0.07465277777777778,0.9563969136910102,0.4799149904214559,-0.04017001915708818
82,2909,2670,0.9178411825369542,2642,28,1,238,0.9895131086142323,0.9173611111111111,0.9173611111111111,0.034482758620689655,0.9655172413793104,0.08263888888888889,0.952072072072072,0.47592193486590034,-0.048156130268199315
83,2909,2663,0.9154348573392919,2635,28,1,245,0.989485542621104,0.9149305555555556,0.9149305555555556,0.034482758620689655,0.9655172413793104,0.08506944444444445,0.9507486920440195,0.4747066570881226,-0.05058668582375481
84,2909,2645,0.9092471639738742,2617,28,1,263,0.989413988657845,0.9086805555555556,0.9086805555555556,0.034482758620689655,0.9655172413793104,0.09131944444444444,0.9473303167420816,0.4715816570881226,-0.056836685823754785
85,2909,2610,0.8972155379855621,2582,28,1,298,0.989272030651341,0.8965277777777778,0.8965277777777778,0.034482758620689655,0.9655172413793104,0.10347222222222222,0.9406193078324225,0.4655052681992337,-0.06898946360153257
86,2909,2598,0.8930904090752836,2570,28,1,310,0.9892224788298691,0.8923611111111112,0.8923611111111112,0.034482758620689655,0.9655172413793104,0.1076388888888889,0.9382986491420227,0.4634219348659004,-0.07315613026819923
87,2909,2589,0.8899965623925747,2561,28,1,319,0.9891850135187331,0.8892361111111111,0.8892361111111111,0.034482758620689655,0.9655172413793104,0.11076388888888888,0.9365514719327117,0.46185943486590036,-0.07628113026819927
88,2909,2579,0.8865589549673427,2551,28,1,329,0.9891430787126794,0.8857638888888889,0.8857638888888889,0.034482758620689655,0.9655172413793104,0.11423611111111111,0.9346034072174391,0.46012332375478926,-0.07975335249042148
89,2909,2570,0.8834651082846339,2543,27,2,337,0.9894941634241246,0.8829861111111111,0.8829861111111111,0.06896551724137931,0.9310344827586207,0.11701388888888889,0.933211009174312,0.47597581417624524,-0.048048371647509525
90,2909,2565,0.8817463045720179,2538,27,2,342,0.9894736842105263,0.88125,0.88125,0.06896551724137931,0.9310344827586207,0.11875,0.9322314049586776,0.47510775862068966,-0.049784482758620685
91,2909,2563,0.8810587830869715,2536,27,2,344,0.9894654701521655,0.8805555555555555,0.8805555555555555,0.06896551724137931,0.9310344827586207,0.11944444444444445,0.9318390593422745,0.47476053639846744,-0.05047892720306513
92,2909,2561,0.880371261601925,2534,27,2,346,0.9894572432643499,0.8798611111111111,0.8798611111111111,0.06896551724137931,0.9310344827586207,0.12013888888888889,0.9314464252894689,0.4744133141762452,-0.05117337164750957
93,2909,2559,0.8796837401168787,2532,27,2,348,0.9894490035169988,0.8791666666666667,0.8791666666666667,0.06896551724137931,0.9310344827586207,0.12083333333333333,0.9310535024820739,0.474066091954023,-0.05186781609195401
