id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_219551,CHEBI_219546,CHEBI_219546_CHEBI_219551,diastereomer,diastereomer,84.0,1
CHEBI_28344,CHEBI_28164,CHEBI_28164_CHEBI_28344,diastereomer,diastereomer,100.0,1
CHEBI_34310,CHEBI_50516,CHEBI_34310_CHEBI_50516,diastereomer,diastereomer,100.0,1
CHEBI_127129,CHEBI_130645,CHEBI_127129_CHEBI_130645,diastereomer,diastereomer,100.0,1
CHEBI_216928,CHEBI_216921,CHEBI_216921_CHEBI_216928,diastereomer,diastereomer,75.0,1
CHEBI_213425,CHEBI_200856,CHEBI_200856_CHEBI_213425,diastereomer,diastereomer,100.0,1
CHEBI_67913,CHEBI_68381,CHEBI_67913_CHEBI_68381,diastereomer,diastereomer,100.0,1
CHEBI_188918,CHEBI_185407,CHEBI_185407_CHEBI_188918,diastereomer,diastereomer,100.0,1
CHEBI_171784,CHEBI_145741,CHEBI_145741_CHEBI_171784,diastereomer,diastereomer,77.0,1
CHEBI_130430,CHEBI_128720,CHEBI_128720_CHEBI_130430,diastereomer,diastereomer,100.0,1
CHEBI_210640,CHEBI_210645,CHEBI_210640_CHEBI_210645,diastereomer,diastereomer,81.0,1
CHEBI_100021,CHEBI_97991,CHEBI_100021_CHEBI_97991,diastereomer,diastereomer,100.0,1
CHEBI_17395,CHEBI_16433,CHEBI_16433_CHEBI_17395,diastereomer,diastereomer,77.0,1
CHEBI_69568,CHEBI_69569,CHEBI_69568_CHEBI_69569,diastereomer,diastereomer,100.0,1
CHEBI_205140,CHEBI_201969,CHEBI_201969_CHEBI_205140,diastereomer,diastereomer,100.0,1
CHEBI_224566,CHEBI_219196,CHEBI_219196_CHEBI_224566,diastereomer,diastereomer,100.0,1
CHEBI_97797,CHEBI_101779,CHEBI_101779_CHEBI_97797,diastereomer,diastereomer,100.0,1
CHEBI_209795,CHEBI_209766,CHEBI_209766_CHEBI_209795,diastereomer,diastereomer,100.0,1
CHEBI_118129,CHEBI_118032,CHEBI_118032_CHEBI_118129,diastereomer,diastereomer,100.0,1
CHEBI_218847,CHEBI_218853,CHEBI_218847_CHEBI_218853,diastereomer,diastereomer,100.0,1
CHEBI_212964,CHEBI_212970,CHEBI_212964_CHEBI_212970,diastereomer,diastereomer,100.0,1
CHEBI_128728,CHEBI_126931,CHEBI_126931_CHEBI_128728,diastereomer,diastereomer,100.0,1
