id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_134099,CHEBI_136677,CHEBI_134099_CHEBI_136677,protomer,protomer,92.0,1
CHEBI_60654,CHEBI_39867,CHEBI_39867_CHEBI_60654,protomer,protomer,89.0,1
CHEBI_144782,CHEBI_31799,CHEBI_144782_CHEBI_31799,protomer,protomer,96.0,1
CHEBI_67026,CHEBI_6498,CHEBI_6498_CHEBI_67026,protomer,protomer,94.0,1
CHEBI_72341,CHEBI_156137,CHEBI_156137_CHEBI_72341,protomer,protomer,82.0,1
CHEBI_77133,CHEBI_77261,CHEBI_77133_CHEBI_77261,protomer,protomer,93.0,1
CHEBI_58554,CHEBI_28211,CHEBI_28211_CHEBI_58554,protomer,protomer,96.0,1
CHEBI_295975,CHEBI_18132,CHEBI_18132_CHEBI_295975,protomer,protomer,90.0,1
CHEBI_64312,CHEBI_64325,CHEBI_64312_CHEBI_64325,protomer,protomer,88.0,1
CHEBI_131592,CHEBI_131461,CHEBI_131461_CHEBI_131592,protomer,protomer,88.0,1
CHEBI_15720,CHEBI_49265,CHEBI_15720_CHEBI_49265,protomer,protomer,95.0,1
CHEBI_72778,CHEBI_72787,CHEBI_72778_CHEBI_72787,protomer,protomer,95.0,1
CHEBI_57655,CHEBI_16142,CHEBI_16142_CHEBI_57655,protomer,protomer,91.0,1
CHEBI_50435,CHEBI_180909,CHEBI_180909_CHEBI_50435,protomer,protomer,88.0,1
CHEBI_64145,CHEBI_64146,CHEBI_64145_CHEBI_64146,protomer,protomer,89.0,1
CHEBI_137065,CHEBI_60322,CHEBI_137065_CHEBI_60322,protomer,protomer,94.0,1
CHEBI_125675,CHEBI_229642,CHEBI_125675_CHEBI_229642,protomer,protomer,93.0,1
CHEBI_58087,CHEBI_17279,CHEBI_17279_CHEBI_58087,protomer,protomer,85.0,1
CHEBI_57915,CHEBI_16834,CHEBI_16834_CHEBI_57915,protomer,protomer,86.0,1
CHEBI_70787,CHEBI_70805,CHEBI_70787_CHEBI_70805,protomer,protomer,95.0,1
CHEBI_17560,CHEBI_857,CHEBI_17560_CHEBI_857,protomer,protomer,88.0,1
CHEBI_146003,CHEBI_145987,CHEBI_145987_CHEBI_146003,protomer,protomer,98.0,1
CHEBI_134204,CHEBI_136671,CHEBI_134204_CHEBI_136671,protomer,protomer,96.0,1
CHEBI_57770,CHEBI_16433,CHEBI_16433_CHEBI_57770,protomer,protomer,92.0,1
CHEBI_138943,CHEBI_65585,CHEBI_138943_CHEBI_65585,protomer,protomer,95.0,1
CHEBI_147382,CHEBI_19799,CHEBI_147382_CHEBI_19799,protomer,protomer,97.0,1
CHEBI_231931,CHEBI_38368,CHEBI_231931_CHEBI_38368,protomer,protomer,89.0,1
CHEBI_64129,CHEBI_77675,CHEBI_64129_CHEBI_77675,protomer,protomer,91.0,1
CHEBI_90943,CHEBI_90949,CHEBI_90943_CHEBI_90949,protomer,protomer,100.0,1
CHEBI_133560,CHEBI_133559,CHEBI_133559_CHEBI_133560,protomer,protomer,92.0,1
CHEBI_139148,CHEBI_60449,CHEBI_139148_CHEBI_60449,protomer,protomer,91.0,1
CHEBI_60792,CHEBI_102216,CHEBI_102216_CHEBI_60792,protomer,protomer,65.0,1
CHEBI_75638,CHEBI_75639,CHEBI_75638_CHEBI_75639,protomer,protomer,98.0,1
CHEBI_142920,CHEBI_143086,CHEBI_142920_CHEBI_143086,protomer,protomer,92.0,1
CHEBI_77814,CHEBI_77793,CHEBI_77793_CHEBI_77814,protomer,protomer,91.0,1
CHEBI_63058,CHEBI_64140,CHEBI_63058_CHEBI_64140,protomer,protomer,99.0,1
CHEBI_90443,CHEBI_90444,CHEBI_90443_CHEBI_90444,protomer,protomer,95.0,1
CHEBI_61811,CHEBI_61809,CHEBI_61809_CHEBI_61811,protomer,protomer,94.0,1
CHEBI_18243,CHEBI_59905,CHEBI_18243_CHEBI_59905,protomer,protomer,90.0,1
CHEBI_72481,CHEBI_72480,CHEBI_72480_CHEBI_72481,protomer,protomer,64.0,1
CHEBI_8356,CHEBI_63218,CHEBI_63218_CHEBI_8356,protomer,protomer,82.0,1
CHEBI_57735,CHEBI_16327,CHEBI_16327_CHEBI_57735,protomer,protomer,89.0,1
CHEBI_140311,CHEBI_50528,CHEBI_140311_CHEBI_50528,protomer,protomer,96.0,1
CHEBI_58136,CHEBI_17415,CHEBI_17415_CHEBI_58136,protomer,protomer,90.0,1
CHEBI_70707,CHEBI_70706,CHEBI_70706_CHEBI_70707,protomer,protomer,94.0,1
CHEBI_32970,CHEBI_15891,CHEBI_15891_CHEBI_32970,protomer,protomer,87.0,1
CHEBI_167201,CHEBI_167213,CHEBI_167201_CHEBI_167213,protomer,protomer,95.0,1
CHEBI_73969,CHEBI_73936,CHEBI_73936_CHEBI_73969,protomer,protomer,84.0,1
CHEBI_30066,CHEBI_30065,CHEBI_30065_CHEBI_30066,protomer,protomer,88.0,1
CHEBI_66012,CHEBI_146143,CHEBI_146143_CHEBI_66012,protomer,protomer,89.0,1
CHEBI_71201,CHEBI_10072,CHEBI_10072_CHEBI_71201,protomer,protomer,93.0,1
CHEBI_132993,CHEBI_132991,CHEBI_132991_CHEBI_132993,protomer,protomer,95.0,1
CHEBI_85502,CHEBI_85902,CHEBI_85502_CHEBI_85902,protomer,protomer,93.0,1
CHEBI_58303,CHEBI_17868,CHEBI_17868_CHEBI_58303,protomer,protomer,94.0,1
CHEBI_61285,CHEBI_61282,CHEBI_61282_CHEBI_61285,protomer,protomer,97.0,1
CHEBI_25224,CHEBI_27376,CHEBI_25224_CHEBI_27376,protomer,protomer,86.0,1
CHEBI_64224,CHEBI_50452,CHEBI_50452_CHEBI_64224,protomer,protomer,92.0,1
CHEBI_58877,CHEBI_52031,CHEBI_52031_CHEBI_58877,protomer,protomer,94.0,1
CHEBI_57290,CHEBI_15362,CHEBI_15362_CHEBI_57290,protomer,protomer,90.0,1
CHEBI_58425,CHEBI_18267,CHEBI_18267_CHEBI_58425,protomer,protomer,92.0,1
CHEBI_64839,CHEBI_64844,CHEBI_64839_CHEBI_64844,protomer,protomer,95.0,1
CHEBI_57629,CHEBI_16077,CHEBI_16077_CHEBI_57629,protomer,protomer,93.0,1
CHEBI_64131,CHEBI_64132,CHEBI_64131_CHEBI_64132,protomer,protomer,93.0,1
CHEBI_48311,CHEBI_47381,CHEBI_47381_CHEBI_48311,protomer,protomer,94.0,1
CHEBI_58114,CHEBI_17344,CHEBI_17344_CHEBI_58114,protomer,protomer,85.0,1
CHEBI_18295,CHEBI_58432,CHEBI_18295_CHEBI_58432,protomer,protomer,91.0,1
