id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_83587,CHEBI_83588,CHEBI_83587_CHEBI_83588,enantiomer,enantiomer,100.0,1
CHEBI_49308,CHEBI_49309,CHEBI_49308_CHEBI_49309,enantiomer,enantiomer,100.0,1
CHEBI_75284,CHEBI_75285,CHEBI_75284_CHEBI_75285,enantiomer,enantiomer,100.0,1
CHEBI_15655,CHEBI_39573,CHEBI_15655_CHEBI_39573,enantiomer,enantiomer,100.0,1
CHEBI_75731,CHEBI_75725,CHEBI_75725_CHEBI_75731,enantiomer,enantiomer,100.0,1
CHEBI_18332,CHEBI_30659,CHEBI_18332_CHEBI_30659,enantiomer,enantiomer,100.0,1
CHEBI_76979,CHEBI_76982,CHEBI_76979_CHEBI_76982,enantiomer,enantiomer,100.0,1
CHEBI_48666,CHEBI_48657,CHEBI_48657_CHEBI_48666,enantiomer,enantiomer,100.0,1
CHEBI_145946,CHEBI_58270,CHEBI_145946_CHEBI_58270,enantiomer,enantiomer,100.0,1
CHEBI_43796,CHEBI_30314,CHEBI_30314_CHEBI_43796,enantiomer,enantiomer,100.0,1
CHEBI_32682,CHEBI_32689,CHEBI_32682_CHEBI_32689,enantiomer,enantiomer,100.0,1
CHEBI_82870,CHEBI_82871,CHEBI_82870_CHEBI_82871,enantiomer,enantiomer,100.0,1
CHEBI_16467,CHEBI_15816,CHEBI_15816_CHEBI_16467,enantiomer,enantiomer,100.0,1
CHEBI_16347,CHEBI_11060,CHEBI_11060_CHEBI_16347,enantiomer,enantiomer,100.0,1
CHEBI_27812,CHEBI_53125,CHEBI_27812_CHEBI_53125,enantiomer,enantiomer,100.0,1
CHEBI_75747,CHEBI_32330,CHEBI_32330_CHEBI_75747,enantiomer,enantiomer,100.0,1
CHEBI_77059,CHEBI_80,CHEBI_77059_CHEBI_80,enantiomer,enantiomer,100.0,1
CHEBI_131853,CHEBI_131854,CHEBI_131853_CHEBI_131854,enantiomer,enantiomer,100.0,1
CHEBI_84019,CHEBI_84017,CHEBI_84017_CHEBI_84019,enantiomer,enantiomer,100.0,1
