threshold,n_predictions_for_class,n_high_confidence,high_confidence_fraction,tp,fp,tn,fn,precision,recall,sensitivity,specificity,false_positive_rate,false_negative_rate,f1,balanced_accuracy,youden_j
46,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
47,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
48,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
49,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
50,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
51,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
52,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
53,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
54,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
55,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
56,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
57,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
58,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
59,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
60,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
61,1160,1158,0.9982758620689656,1157,1,0,2,0.9991364421416234,0.998274374460742,0.998274374460742,0.0,1.0,0.001725625539257981,0.9987052222701769,0.499137187230371,-0.0017256255392580355
62,1160,1158,0.9982758620689656,1157,1,0,2,0.9991364421416234,0.998274374460742,0.998274374460742,0.0,1.0,0.001725625539257981,0.9987052222701769,0.499137187230371,-0.0017256255392580355
63,1160,1158,0.9982758620689656,1157,1,0,2,0.9991364421416234,0.998274374460742,0.998274374460742,0.0,1.0,0.001725625539257981,0.9987052222701769,0.499137187230371,-0.0017256255392580355
64,1160,1158,0.9982758620689656,1157,1,0,2,0.9991364421416234,0.998274374460742,0.998274374460742,0.0,1.0,0.001725625539257981,0.9987052222701769,0.499137187230371,-0.0017256255392580355
65,1160,1158,0.9982758620689656,1157,1,0,2,0.9991364421416234,0.998274374460742,0.998274374460742,0.0,1.0,0.001725625539257981,0.9987052222701769,0.499137187230371,-0.0017256255392580355
66,1160,1158,0.9982758620689656,1157,1,0,2,0.9991364421416234,0.998274374460742,0.998274374460742,0.0,1.0,0.001725625539257981,0.9987052222701769,0.499137187230371,-0.0017256255392580355
67,1160,1157,0.9974137931034482,1156,1,0,3,0.9991356957649092,0.997411561691113,0.997411561691113,0.0,1.0,0.0025884383088869713,0.9982728842832469,0.4987057808455565,-0.0025884383088869978
68,1160,1157,0.9974137931034482,1156,1,0,3,0.9991356957649092,0.997411561691113,0.997411561691113,0.0,1.0,0.0025884383088869713,0.9982728842832469,0.4987057808455565,-0.0025884383088869978
69,1160,1157,0.9974137931034482,1156,1,0,3,0.9991356957649092,0.997411561691113,0.997411561691113,0.0,1.0,0.0025884383088869713,0.9982728842832469,0.4987057808455565,-0.0025884383088869978
70,1160,1157,0.9974137931034482,1156,1,0,3,0.9991356957649092,0.997411561691113,0.997411561691113,0.0,1.0,0.0025884383088869713,0.9982728842832469,0.4987057808455565,-0.0025884383088869978
71,1160,1157,0.9974137931034482,1156,1,0,3,0.9991356957649092,0.997411561691113,0.997411561691113,0.0,1.0,0.0025884383088869713,0.9982728842832469,0.4987057808455565,-0.0025884383088869978
72,1160,1157,0.9974137931034482,1156,1,0,3,0.9991356957649092,0.997411561691113,0.997411561691113,0.0,1.0,0.0025884383088869713,0.9982728842832469,0.4987057808455565,-0.0025884383088869978
73,1160,1157,0.9974137931034482,1156,1,0,3,0.9991356957649092,0.997411561691113,0.997411561691113,0.0,1.0,0.0025884383088869713,0.9982728842832469,0.4987057808455565,-0.0025884383088869978
