chebi_id,hmdb_id
CHEBI:133051,HMDB0011728
CHEBI:133066,HMDB0242116
CHEBI:133077,HMDB0240597
CHEBI:133086,HMDB0000782
CHEBI:133087,HMDB0302976
CHEBI:133089,HMDB0240655
CHEBI:133093,HMDB0242176
CHEBI:133094,HMDB0034276
CHEBI:133096,HMDB0170765
CHEBI:133101,HMDB0094682
CHEBI:133112,HMDB0240625
CHEBI:133119,HMDB0094650
CHEBI:133124,HMDB0240313
CHEBI:133136,HMDB0037397
CHEBI:133148,HMDB0242175
CHEBI:133171,HMDB0240616
CHEBI:133172,HMDB0242148
CHEBI:133176,HMDB0240607
CHEBI:133177,HMDB0242179
CHEBI:133179,HMDB0242109
CHEBI:133181,HMDB0240340
CHEBI:133183,HMDB0240341
CHEBI:133185,HMDB0061384
CHEBI:133186,HMDB0061116
CHEBI:133187,HMDB0253405
CHEBI:133197,HMDB0060924
CHEBI:133197,HMDB0060920
CHEBI:133199,HMDB0060564
CHEBI:133208,HMDB0012202
CHEBI:133211,HMDB0012201
CHEBI:133217,HMDB0240345
CHEBI:133218,HMDB0302884
CHEBI:133220,HMDB0303749
CHEBI:133221,HMDB0035514
CHEBI:133222,HMDB0246823
CHEBI:133246,HMDB0036584
CHEBI:133306,HMDB0258606
CHEBI:133325,HMDB0034295
CHEBI:133343,HMDB0000592
CHEBI:133348,HMDB0039489
CHEBI:133351,HMDB0304424
CHEBI:133364,HMDB0304139
CHEBI:133365,HMDB0033681
CHEBI:133381,HMDB0302107
CHEBI:133412,HMDB0033558
CHEBI:133419,HMDB0304461
CHEBI:133430,HMDB0242184
CHEBI:133435,HMDB0242140
CHEBI:133455,HMDB0030999
CHEBI:133456,HMDB0010388
CHEBI:133458,HMDB0242129
CHEBI:133460,HMDB0060013
CHEBI:133469,HMDB0242134
CHEBI:133478,HMDB0032010
CHEBI:133480,HMDB0041510
CHEBI:133501,HMDB0304106
CHEBI:133508,HMDB0029200
CHEBI:133516,HMDB0304379
CHEBI:133530,HMDB0006409
CHEBI:133532,HMDB0168668
CHEBI:133534,HMDB0240317
CHEBI:133542,HMDB0240624
CHEBI:133548,HMDB0240694
CHEBI:133559,HMDB0240652
CHEBI:133560,HMDB0304907
CHEBI:133562,HMDB0240381
CHEBI:133565,HMDB0242135
CHEBI:133567,HMDB0240565
CHEBI:133568,HMDB0240651
CHEBI:133599,HMDB0008994
CHEBI:133617,HMDB0007940
CHEBI:133623,HMDB0007939
CHEBI:133636,HMDB0011229
CHEBI:133655,HMDB0008936
CHEBI:133657,HMDB0010401
CHEBI:133662,HMDB0013122
CHEBI:133664,HMDB0011262
CHEBI:133667,HMDB0041740
CHEBI:133669,HMDB0011203
CHEBI:133672,HMDB0011206
CHEBI:133677,HMDB0240592
CHEBI:133679,HMDB0037156
CHEBI:133683,HMDB0031862
CHEBI:133689,HMDB0240490
CHEBI:133693,HMDB0240596
CHEBI:133694,HMDB0240583
CHEBI:133695,HMDB0242133
CHEBI:133704,HMDB0240706
CHEBI:133706,HMDB0241921
CHEBI:133707,HMDB0240718
CHEBI:133730,HMDB0304380
CHEBI:133734,HMDB0010403
CHEBI:133740,HMDB0304903
CHEBI:133741,HMDB0031020
CHEBI:133745,HMDB0006738
CHEBI:133747,HMDB0029159
CHEBI:133756,HMDB0030857
CHEBI:133758,HMDB0033768
CHEBI:133760,HMDB0033929
CHEBI:133763,HMDB0033649
CHEBI:133794,HMDB0060092
CHEBI:133809,HMDB0015257
CHEBI:133814,HMDB0030852
CHEBI:133815,HMDB0030856
CHEBI:133817,HMDB0041884
CHEBI:133825,HMDB0033866
CHEBI:133833,HMDB0248997
CHEBI:133897,HMDB0254519
CHEBI:133907,HMDB0012974
CHEBI:133920,HMDB0255150
CHEBI:133921,HMDB0029437
CHEBI:133940,HMDB0242165
CHEBI:133979,HMDB0260528
CHEBI:133981,HMDB0302376
CHEBI:133983,HMDB0001068
CHEBI:134011,HMDB0033607
CHEBI:134012,HMDB0033606
CHEBI:134013,HMDB0033605
CHEBI:134013,HMDB0030233
CHEBI:134014,HMDB0033604
CHEBI:134021,HMDB0062336
CHEBI:134027,HMDB0031129
CHEBI:134044,HMDB0244218
CHEBI:134073,HMDB0012088
CHEBI:134075,HMDB0007937
CHEBI:134076,HMDB0008033
CHEBI:134077,HMDB0008841
CHEBI:134078,HMDB0008932
CHEBI:134080,HMDB0060540
CHEBI:134092,HMDB0032683
CHEBI:134104,HMDB0000542
CHEBI:134180,HMDB0254034
CHEBI:134190,HMDB0034780
CHEBI:134216,HMDB0000865
CHEBI:134227,HMDB0009220
CHEBI:134228,HMDB0009481
CHEBI:134229,HMDB0009483
CHEBI:134231,HMDB0008262
CHEBI:134232,HMDB0008907
CHEBI:134254,HMDB0029191
CHEBI:134255,HMDB0041691
CHEBI:134256,HMDB0013244
CHEBI:134261,HMDB0002141
CHEBI:134267,HMDB0246058
CHEBI:134281,HMDB0034448
CHEBI:134342,HMDB0041284
CHEBI:134345,HMDB0036624
CHEBI:134353,HMDB0036623
CHEBI:134354,HMDB0037378
CHEBI:134355,HMDB0034054
CHEBI:134407,HMDB0013040
CHEBI:134423,HMDB0006321
CHEBI:134424,HMDB0006496
CHEBI:134432,HMDB0040042
CHEBI:134433,HMDB0040028
CHEBI:134434,HMDB0040048
CHEBI:134453,HMDB0012508
CHEBI:134454,HMDB0010705
CHEBI:134458,HMDB0304310
CHEBI:134470,HMDB0006486
CHEBI:134474,HMDB0035572
CHEBI:134475,HMDB0035573
CHEBI:134479,HMDB0035159
CHEBI:134485,HMDB0037822
CHEBI:134520,HMDB0060094
CHEBI:134548,HMDB0004957
CHEBI:134576,HMDB0007868
CHEBI:134583,HMDB0007935
CHEBI:134609,HMDB0255200
CHEBI:134614,HMDB0254635
CHEBI:134689,HMDB0257361
CHEBI:134722,HMDB0252176
CHEBI:134817,HMDB0041930
CHEBI:134964,HMDB0250914
CHEBI:135029,HMDB0060974
CHEBI:135076,HMDB0258262
CHEBI:135127,HMDB0256549
CHEBI:135207,HMDB0015585
CHEBI:135209,HMDB0015453
CHEBI:135398,HMDB0015658
CHEBI:135445,HMDB0003033
CHEBI:135456,HMDB0004631
CHEBI:135538,HMDB0256846
CHEBI:135595,HMDB0252197
CHEBI:135632,HMDB0249575
CHEBI:135644,HMDB0042015
CHEBI:135654,HMDB0041907
CHEBI:135732,HMDB0042013
CHEBI:135868,HMDB0041851
CHEBI:136139,HMDB0008892
CHEBI:136185,HMDB0259331
CHEBI:136270,HMDB0029427
CHEBI:136272,HMDB0240617
CHEBI:136275,HMDB0240621
CHEBI:136346,HMDB0103895
CHEBI:136372,HMDB0006351
CHEBI:136406,HMDB0061662
CHEBI:136461,HMDB0240362
CHEBI:136486,HMDB0000981
CHEBI:136492,HMDB0032855
CHEBI:136531,HMDB0246143
CHEBI:136532,HMDB0247423
CHEBI:136538,HMDB0251726
CHEBI:136552,HMDB0038846
CHEBI:136553,HMDB0037945
CHEBI:136561,HMDB0037846
CHEBI:136609,HMDB0005788
CHEBI:136611,HMDB0038829
CHEBI:136612,HMDB0038830
CHEBI:136613,HMDB0302630
CHEBI:136614,HMDB0242185
CHEBI:136617,HMDB0037439
CHEBI:136621,HMDB0041771
CHEBI:136623,HMDB0013308
CHEBI:136629,HMDB0037840
CHEBI:136638,HMDB0061661
CHEBI:136657,HMDB0062277
CHEBI:136666,HMDB0252128
CHEBI:136676,HMDB0302514
CHEBI:136678,HMDB0303602
CHEBI:136694,HMDB0253047
CHEBI:1367,HMDB0246009
CHEBI:136720,HMDB0253046
CHEBI:136736,HMDB0253045
CHEBI:136773,HMDB0013472
CHEBI:136778,HMDB0301692
CHEBI:136780,HMDB0302889
CHEBI:136785,HMDB0303606
CHEBI:136805,HMDB0031459
CHEBI:136806,HMDB0132905
CHEBI:136814,HMDB0092900
CHEBI:136816,HMDB0013532
CHEBI:136818,HMDB0000747
CHEBI:136819,HMDB0112180
CHEBI:136826,HMDB0035002
CHEBI:136828,HMDB0038815
CHEBI:136917,HMDB0002087
CHEBI:136921,HMDB0031574
CHEBI:136932,HMDB0038463
CHEBI:136934,HMDB0039516
CHEBI:136941,HMDB0038632
CHEBI:136947,HMDB0038447
CHEBI:136957,HMDB0041805
CHEBI:136975,HMDB0012782
CHEBI:136989,HMDB0013659
CHEBI:136990,HMDB0013652
CHEBI:136992,HMDB0013630
CHEBI:136995,HMDB0041806
CHEBI:136996,HMDB0112109
CHEBI:13705,HMDB0304256
CHEBI:137054,HMDB0000559
CHEBI:137064,HMDB0252603
CHEBI:137082,HMDB0112105
CHEBI:137083,HMDB0112145
CHEBI:137084,HMDB0112108
CHEBI:137085,HMDB0112117
CHEBI:137086,HMDB0112139
CHEBI:137089,HMDB0112120
CHEBI:137091,HMDB0112133
CHEBI:137097,HMDB0112112
CHEBI:137102,HMDB0112134
CHEBI:137106,HMDB0112140
CHEBI:137118,HMDB0009050
CHEBI:137121,HMDB0008387
CHEBI:137172,HMDB0260527
CHEBI:1372,HMDB0001301
CHEBI:137230,HMDB0253125
CHEBI:137248,HMDB0007007
CHEBI:137268,HMDB0013246
CHEBI:137269,HMDB0010205
CHEBI:137271,HMDB0029432
CHEBI:137279,HMDB0007947
CHEBI:137284,HMDB0008326
CHEBI:137288,HMDB0008851
CHEBI:137292,HMDB0008951
CHEBI:137294,HMDB0008984
CHEBI:137301,HMDB0009051
CHEBI:137306,HMDB0009116
CHEBI:137310,HMDB0038456
