cluster_index,cluster_members,cluster_size,present_members,unmapped_members,mnx_ids_hit,distinct_mnx_ids,n_distinct_mnx_ids,member_to_mnx,classification,jaccard_cluster_vs_mnx
213230,"['chebi:17917', 'chebi:58321', 'hmdb:HMDB0001263', 'keggC:C04076', 'vmhM:L2aadp6sa', 'sabiorkM:27931', 'seedM:cpd01046']",7,"['chebi:17917', 'chebi:58321', 'hmdb:HMDB0001263', 'keggC:C04076', 'sabiorkM:27931', 'seedM:cpd01046', 'vmhM:L2aadp6sa']",[],"['https://rdf.metanetx.org/chem/MNXM1364547', 'https://rdf.metanetx.org/chem/MNXM165355']","['https://rdf.metanetx.org/chem/MNXM1364547', 'https://rdf.metanetx.org/chem/MNXM165355']",2,"{'chebi:17917': 'https://rdf.metanetx.org/chem/MNXM1364547', 'chebi:58321': 'https://rdf.metanetx.org/chem/MNXM1364547', 'hmdb:HMDB0001263': 'https://rdf.metanetx.org/chem/MNXM1364547', 'keggC:C04076': 'https://rdf.metanetx.org/chem/MNXM1364547', 'sabiorkM:27931': 'https://rdf.metanetx.org/chem/MNXM165355', 'seedM:cpd01046': 'https://rdf.metanetx.org/chem/MNXM1364547', 'vmhM:L2aadp6sa': 'https://rdf.metanetx.org/chem/MNXM1364547'}",mnx_id_disagreement,0.0
213408,"['chebi:230190', 'hmdb:HMDB0291828']",2,"['chebi:230190', 'hmdb:HMDB0291828']",[],"['https://rdf.metanetx.org/chem/MNXM1410870', 'https://rdf.metanetx.org/chem/MNXM1545000']","['https://rdf.metanetx.org/chem/MNXM1410870', 'https://rdf.metanetx.org/chem/MNXM1545000']",2,"{'chebi:230190': 'https://rdf.metanetx.org/chem/MNXM1410870', 'hmdb:HMDB0291828': 'https://rdf.metanetx.org/chem/MNXM1545000'}",mnx_id_disagreement,0.0
213813,"['chebi:55376', 'seedM:cpd23052']",2,"['chebi:55376', 'seedM:cpd23052']",[],"['https://rdf.metanetx.org/chem/MNXM1583841', 'https://rdf.metanetx.org/chem/MNXM1583843']","['https://rdf.metanetx.org/chem/MNXM1583841', 'https://rdf.metanetx.org/chem/MNXM1583843']",2,"{'chebi:55376': 'https://rdf.metanetx.org/chem/MNXM1583841', 'seedM:cpd23052': 'https://rdf.metanetx.org/chem/MNXM1583843'}",mnx_id_disagreement,0.0
213913,"['hmdb:HMDB0252853', 'SLM:000389260']",2,"['SLM:000389260', 'hmdb:HMDB0252853']",[],"['https://rdf.metanetx.org/chem/MNXM1510192', 'https://rdf.metanetx.org/chem/MNXM62049']","['https://rdf.metanetx.org/chem/MNXM1510192', 'https://rdf.metanetx.org/chem/MNXM62049']",2,"{'SLM:000389260': 'https://rdf.metanetx.org/chem/MNXM62049', 'hmdb:HMDB0252853': 'https://rdf.metanetx.org/chem/MNXM1510192'}",mnx_id_disagreement,0.0
214978,"['chebi:46345', 'hmdb:HMDB0014684', 'keggC:C07649', 'keggD:D00584', 'vmhM:5fura', 'sabiorkM:9753', 'seedM:cpd04810']",7,"['chebi:46345', 'hmdb:HMDB0014684', 'keggC:C07649', 'keggD:D00584', 'sabiorkM:9753', 'seedM:cpd04810', 'vmhM:5fura']",[],"['https://rdf.metanetx.org/chem/MNXM1368741', 'https://rdf.metanetx.org/chem/MNXM1368742']","['https://rdf.metanetx.org/chem/MNXM1368741', 'https://rdf.metanetx.org/chem/MNXM1368742']",2,"{'chebi:46345': 'https://rdf.metanetx.org/chem/MNXM1368741', 'hmdb:HMDB0014684': 'https://rdf.metanetx.org/chem/MNXM1368741', 'keggC:C07649': 'https://rdf.metanetx.org/chem/MNXM1368741', 'keggD:D00584': 'https://rdf.metanetx.org/chem/MNXM1368741', 'sabiorkM:9753': 'https://rdf.metanetx.org/chem/MNXM1368741', 'seedM:cpd04810': 'https://rdf.metanetx.org/chem/MNXM1368742', 'vmhM:5fura': 'https://rdf.metanetx.org/chem/MNXM1368741'}",mnx_id_disagreement,0.0
215077,"['chebi:168344', 'hmdb:HMDB0035867']",2,"['chebi:168344', 'hmdb:HMDB0035867']",[],"['https://rdf.metanetx.org/chem/MNXM1365110', 'https://rdf.metanetx.org/chem/MNXM1365111']","['https://rdf.metanetx.org/chem/MNXM1365110', 'https://rdf.metanetx.org/chem/MNXM1365111']",2,"{'chebi:168344': 'https://rdf.metanetx.org/chem/MNXM1365110', 'hmdb:HMDB0035867': 'https://rdf.metanetx.org/chem/MNXM1365111'}",mnx_id_disagreement,0.0
215092,"['chebi:180956', 'hmdb:HMDB0242392', 'sabiorkM:7936']",3,"['chebi:180956', 'hmdb:HMDB0242392', 'sabiorkM:7936']",[],"['https://rdf.metanetx.org/chem/MNXM1373106', 'https://rdf.metanetx.org/chem/MNXM732862']","['https://rdf.metanetx.org/chem/MNXM1373106', 'https://rdf.metanetx.org/chem/MNXM732862']",2,"{'chebi:180956': 'https://rdf.metanetx.org/chem/MNXM1373106', 'hmdb:HMDB0242392': 'https://rdf.metanetx.org/chem/MNXM1373106', 'sabiorkM:7936': 'https://rdf.metanetx.org/chem/MNXM732862'}",mnx_id_disagreement,0.0
215788,"['chebi:7916', 'hmdb:HMDB0250782', 'sabiorkM:5286']",3,"['chebi:7916', 'hmdb:HMDB0250782', 'sabiorkM:5286']",[],"['https://rdf.metanetx.org/chem/MNXM1371612', 'https://rdf.metanetx.org/chem/MNXM1371613']","['https://rdf.metanetx.org/chem/MNXM1371612', 'https://rdf.metanetx.org/chem/MNXM1371613']",2,"{'chebi:7916': 'https://rdf.metanetx.org/chem/MNXM1371613', 'hmdb:HMDB0250782': 'https://rdf.metanetx.org/chem/MNXM1371613', 'sabiorkM:5286': 'https://rdf.metanetx.org/chem/MNXM1371612'}",mnx_id_disagreement,0.0
217296,"['chebi:29145', 'seedM:cpd23830']",2,"['chebi:29145', 'seedM:cpd23830']",[],"['https://rdf.metanetx.org/chem/MNXM1372000', 'https://rdf.metanetx.org/chem/MNXM1372002']","['https://rdf.metanetx.org/chem/MNXM1372000', 'https://rdf.metanetx.org/chem/MNXM1372002']",2,"{'chebi:29145': 'https://rdf.metanetx.org/chem/MNXM1372000', 'seedM:cpd23830': 'https://rdf.metanetx.org/chem/MNXM1372002'}",mnx_id_disagreement,0.0
217336,"['hmdb:HMDB0249177', 'sabiorkM:8647']",2,"['hmdb:HMDB0249177', 'sabiorkM:8647']",[],"['https://rdf.metanetx.org/chem/MNXM1508580', 'https://rdf.metanetx.org/chem/MNXM5892']","['https://rdf.metanetx.org/chem/MNXM1508580', 'https://rdf.metanetx.org/chem/MNXM5892']",2,"{'hmdb:HMDB0249177': 'https://rdf.metanetx.org/chem/MNXM1508580', 'sabiorkM:8647': 'https://rdf.metanetx.org/chem/MNXM5892'}",mnx_id_disagreement,0.0
